station_code,station_name,station_name_medium,station_uic,station_type,station_tier,is_junction,country,lat,lng
HT,'s-Hertogenbosch,'s-Hertogenbosch,8400319,knooppuntIntercitystation,Intercity station,True,NL,51.69048,5.29362
HTO,'s-Hertogenbosch Oost,'s-Hertogenb. O.,8400320,stoptreinstation,Local station,False,NL,51.700553894043,5.3183331489563
HDE,'t Harde,'t Harde,8400388,stoptreinstation,Local station,False,NL,52.4091682,5.893611
ATN,Aalten,Aalten,8400045,stoptreinstation,Local station,False,NL,51.921326524551,6.5786272287369
AC,Abcoude,Abcoude,8400047,stoptreinstation,Local station,False,NL,52.2785,4.977
AKM,Akkrum,Akkrum,8400049,stoptreinstation,Local station,False,NL,53.046390533447,5.843611240387
AMR,Alkmaar,Alkmaar,8400050,knooppuntIntercitystation,Intercity station,True,NL,52.63777923584,4.7397222518921
AMRN,Alkmaar Noord,Alkmaar Noord,8400052,stoptreinstation,Local station,False,NL,52.643890380859,4.7641668319702
AML,Almelo,Almelo,8400051,knooppuntIntercitystation,Intercity station,True,NL,52.358055114746,6.6538887023926
AMRI,Almelo de Riet,de Riet,8400520,stoptreinstation,Local station,False,NL,52.341945648193,6.6666665077209
ALMB,Almere Buiten,Buiten,8400081,stoptreinstation,Local station,False,NL,52.394165039062,5.2780556678772
ALM,Almere Centrum,Almere C.,8400080,knooppuntIntercitystation,Intercity station,True,NL,52.37503,5.21764
ALMM,Almere Muziekwijk,Muziekwijk,8400082,stoptreinstation,Local station,False,NL,52.367500305176,5.1902775764465
ALMO,Almere Oostvaarders,Oostvaarders,8400226,stoptreinstation,Local station,False,NL,52.403331756592,5.3005557060242
ALMP,Almere Parkwijk,Parkwijk,8400104,stoptreinstation,Local station,False,NL,52.376667022705,5.244722366333
AMPO,Almere Poort,Poort,8400450,stoptreinstation,Local station,False,NL,52.342778,5.151944
APN,Alphen a/d Rijn,Alphen a/d Rijn,8400053,knooppuntIntercitystation,Intercity station,True,NL,52.124443054199,4.6577777862549
AMF,Amersfoort Centraal,Amersfoort C.,8400055,knooppuntIntercitystation,Intercity station,True,NL,52.153888702393,5.3705554008484
AMFS,Amersfoort Schothorst,Schothorst,8400054,stoptreinstation,Local station,False,NL,52.174822137451,5.4038887023926
AVAT,Amersfoort Vathorst,Vathorst,8400228,stoptreinstation,Local station,False,NL,52.192779541016,5.4338889122009
ASA,Amsterdam Amstel,Amstel,8400057,intercitystation,Intercity station,False,NL,52.346668243408,4.9177780151367
ASB,Amsterdam Bijlmer ArenA,Bijlmer ArenA,8400074,knooppuntStoptreinstation,Local station,True,NL,52.3122215271,4.9469442367554
ASD,Amsterdam Centraal,Amsterdam C.,8400058,megastation,Mega station,False,NL,52.378887176514,4.9002776145935
ASHD,Amsterdam Holendrecht,Holendrecht,8400231,stoptreinstation,Local station,False,NL,52.29844,4.95972
ASDL,Amsterdam Lelylaan,Lelylaan,8400079,stoptreinstation,Local station,False,NL,52.357776641846,4.8338890075684
ASDM,Amsterdam Muiderpoort,Muiderpoort,8400060,stoptreinstation,Local station,False,NL,52.360553741455,4.9311113357544
RAI,Amsterdam RAI,RAI,8400056,stoptreinstation,Local station,False,NL,52.337223052979,4.8902778625488
ASSP,Amsterdam Science Park,Science Park,8400235,stoptreinstation,Local station,False,NL,52.35526,4.94651
ASS,Amsterdam Sloterdijk,Sloterdijk,8400059,knooppuntIntercitystation,Intercity station,True,NL,52.388889312744,4.8377776145935
ASDZ,Amsterdam Zuid,Amsterdam Zuid,8400061,intercitystation,Intercity station,False,NL,52.338889,4.872356
ANA,Anna Paulowna,Anna Paulowna,8400065,stoptreinstation,Local station,False,NL,52.867221832275,4.8111109733581
APD,Apeldoorn,Apeldoorn,8400066,knooppuntIntercitystation,Intercity station,True,NL,52.209167480469,5.9702777862549
APDM,Apeldoorn De Maten,De Maten,8400233,stoptreinstation,Local station,False,NL,52.205276489258,6.0005555152893
APDO,Apeldoorn Osseveld,Osseveld,8400229,stoptreinstation,Local station,False,NL,52.215278625488,6.0044445991516
APG,Appingedam,Appingedam,8400067,stoptreinstation,Local station,False,NL,53.3258135,6.8619577
AKL,Arkel,Arkel,8400068,stoptreinstation,Local station,False,NL,51.87194442749,4.9927778244019
ARN,Arnemuiden,Arnemuiden,8400069,stoptreinstation,Local station,False,NL,51.501667022705,3.6691665649414
AH,Arnhem Centraal,Arnhem C.,8400071,knooppuntIntercitystation,Intercity station,True,NL,51.985000610352,5.8991665840149
AHPR,Arnhem Presikhaaf,Presikhaaf,8400075,stoptreinstation,Local station,False,NL,51.988056182861,5.9438886642456
AHP,Arnhem Velperpoort,Velperpoort,8400072,stoptreinstation,Local station,False,NL,51.985279083252,5.9194445610046
AHZ,Arnhem Zuid,Arnhem Zuid,8400227,stoptreinstation,Local station,False,NL,51.955001831055,5.8519444465637
ASN,Assen,Assen,8400073,knooppuntIntercitystation,Intercity station,True,NL,52.991664886475,6.5708332061768
BRN,Baarn,Baarn,8400086,knooppuntStoptreinstation,Local station,True,NL,52.208332061768,5.2808332443237
